No;Kode;Nama;Alamat;latitude;longitude
1;1008;A.YANI;A.YANI;-7.607466;111.899897
2;1011;ANEKA RASA;A.YANI 140138;-7.608075;111.899717
3;402124;KARMINI;WAGE PASAR - BARAT;-7.620223;111.897606
4;402400;SOFWAN BU;NGANJUK PASAR - BELAKANG;-7.609021;111.898624
5;402401;ABADI;NGANJUK PASAR - BELAKANG;-7.609796;111.89883
6;403557;SUNARTO TK.;KARTOHARJO;-7.609059;111.89887
7;493612;ZAENAL;PS WAGE UTARA;-7.609498;111.899228
8;493752;BU NYAMI;PASAR WAGE POJOK SELATAN;-7.61051;111.898628
9;493771;TK SUPARDI;PSR WAGE SELATAN;-7.610852;111.898972
10;493785;PARIADI PAK;JLN. SERSAN HARUN KARTOHARJO;-7.60869;111.895471
11;493786;BAIHAQI;PAYAMAN;-7.609174;111.898817
12;493891;MAS ANTON;PASAR WAGE SELATAN - NGANJUK;-7.610727;111.898876
13;493956;SITI AMININ;PS. WAGE BELAKANG;-7.609111;111.898767
14;494347;ANA DIANITA PUSPITA SARI DEWI;Dk Bulu Rt 02 Rw 01 Babadan;-7.610418;111.898637
15;494381;BU RUBIYANTIE;Jln Sersan Harun No 70 A;-7.609022;111.897479
16;494498;TK. BINTI;PASAR WAGE;-7.606085688;111.900584
17;493948;P. UDIN;PS. WAGE - NGANJUK;-7.609371;111.899212
18;402692;MAWAR  BU BAMBANG;NGANJUK PASAR - BELAKANG;-7.608655;111.898511
19;494406;TOKO MASDA HIDAYAT;Jln Sersan Harun 27;-7.608903;111.897764
20;493700;TK HARIS;JL.BARITO NO 31  KERINGAN;-7.598963;111.90459
21;1026;PARLIN;WAGE PASAR;-7.6036;111.893741
22;402383;JADI;NGANJUK PASAR - BELAKANG;-7.608085;111.899356
23;402395;WARSINI  DINA;NGANJUK PASAR - DALAM;-7.609198;111.899082
24;402396;YULI HIDAYATI;NGANJUK PASAR - DALAM;-7.609304;111.899234
25;403473;MARIATI;NGANJUK PSR;-7.608509;111.899522
26;403474;SUMIATI;NGANJUK PSR UTARA;-7.608529;111.899511
27;403554;SUBANDI;LETJEN SUPRAPTO 01 JL;-7.608418;111.899395
28;403555;YANI;S.PARMAN JL. IV RT 03 RW 05;-7.608465;111.899562
29;403563;TK.ENY;PERUMNAS CANDI REJO RT 04 RW05;-7.608626;111.899342
30;493606;IQBAL;DS MUKUNG RT 02 RW 06;-7.60909;111.899374
31;493607;DWI SRIYANI;PS WAGE UTARA;-7.609481;111.899299
32;493788;SUTARKO TK;PASAR WAGE UTARA;-7.60951;111.899284
